City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Benjamin Constant,BR,-4.3831,-70.0311,80.73,83,40,3.44,scattered clouds
272,Bilibino,RU,68.0546,166.4372,-9.71,97,14,2.86,few clouds
273,Porto Novo,BJ,6.4965,2.6036,78.64,85,95,5.1,overcast clouds
274,Tecoanapa,MX,16.5167,-98.75,83.5,77,76,8.79,broken clouds
275,Matara,LK,5.9485,80.5353,75.76,88,100,3.4,overcast clouds
276,Grindavik,IS,63.8424,-22.4338,43.27,87,75,12.66,light rain
277,Ihosy,MG,-22.4,46.1167,69.03,77,66,2.13,broken clouds
278,Eirunepe,BR,-6.6603,-69.8736,80.53,73,98,2.28,overcast clouds
279,Traverse City,US,44.7631,-85.6206,57.27,93,100,3.44,heavy intensity rain
280,Ishigaki,JP,24.3448,124.1572,74.88,66,93,20.11,overcast clouds
281,Sinop,TR,41.7711,34.8709,53.94,60,40,9.13,scattered clouds
282,Flinders,AU,-34.5833,150.8552,73.06,78,59,1.99,broken clouds
283,Sirnak,TR,37.5228,42.4594,46.47,34,0,3.96,clear sky
284,Cabo San Lucas,MX,22.8909,-109.9124,86.61,50,0,10.36,clear sky
285,Dawei,MM,14.0833,98.2,74.7,91,100,3.47,overcast clouds
286,Turukhansk,RU,65.8167,87.9833,30.04,98,100,13.71,light snow
287,Byron Bay,AU,-28.65,153.6167,82.36,51,37,5.95,scattered clouds
288,Kostomuksha,RU,64.571,30.5767,28.54,94,100,4.79,overcast clouds
289,Saint George,US,37.1041,-113.5841,66.43,24,0,1.99,clear sky
290,Wuchi,CN,29.3786,103.023,47.64,99,100,1.99,overcast clouds
291,Tinaquillo,VE,9.9186,-68.3047,76.71,79,98,2.1,overcast clouds
292,Ketchikan,US,55.3422,-131.6461,45.07,76,40,9.22,scattered clouds
293,Gao,ML,16.6362,1.637,82.89,21,13,9.31,few clouds
294,North Bend,US,43.4065,-124.2243,58.91,80,0,12.66,clear sky
295,Akusha,RU,42.2688,47.3411,37.26,68,28,3.0,scattered clouds
296,Pionerskiy,RU,54.9508,20.2275,53.74,86,89,17.69,overcast clouds
297,Kashan,IR,33.9831,51.4364,65.68,40,95,5.48,overcast clouds
298,Sawtell,AU,-30.3833,153.1,75.22,60,43,4.61,scattered clouds
299,Buala,SB,-8.145,159.5921,85.08,69,49,4.07,scattered clouds
300,Tocopilla,CL,-22.092,-70.1979,62.74,72,17,11.14,few clouds
301,Amapa,BR,1.0,-52.0,81.97,63,100,5.48,overcast clouds
302,Sambava,MG,-14.2667,50.1667,68.58,90,6,7.31,clear sky
303,Bilma,NE,18.6853,12.9164,71.42,14,0,4.54,clear sky
304,Sault Sainte Marie,CA,46.5168,-84.3333,55.69,100,100,5.75,moderate rain
305,Lashio,MM,22.9333,97.75,66.56,99,100,1.1,overcast clouds
306,Goundam,ML,16.4145,-3.6708,87.73,15,100,9.1,overcast clouds
307,Plouzane,FR,48.3833,-4.6167,61.12,94,100,21.85,overcast clouds
308,Walvis Bay,NA,-22.9575,14.5053,60.1,92,100,2.28,overcast clouds
309,Shingu,JP,33.7333,135.9833,56.14,57,0,4.14,clear sky
310,Vredendal,ZA,-31.6683,18.5012,56.88,82,100,2.53,overcast clouds
311,Goderich,CA,43.7501,-81.7165,64.9,62,96,16.44,overcast clouds
312,Beringovskiy,RU,63.05,179.3167,21.31,76,94,9.98,overcast clouds
313,Qesarya,IL,32.5189,34.9046,78.35,53,14,9.57,few clouds
314,Maniitsoq,GL,65.4167,-52.9,27.52,76,83,6.51,broken clouds
315,Maralal,KE,1.0968,36.698,61.61,71,73,10.16,broken clouds
316,Chinchani,IN,19.8667,72.7,74.62,61,0,3.96,clear sky
317,Tura,IN,25.5198,90.2201,64.02,97,42,2.89,scattered clouds
318,Svetlaya,RU,46.5389,138.3297,42.24,44,26,3.89,scattered clouds
319,Iwanai,JP,42.9744,140.5089,44.06,65,1,4.52,clear sky
320,Alekseyevka,RU,50.6309,38.6903,48.51,92,100,6.96,overcast clouds
